序号	自定序号	            合约名称	合约类型	持仓类型	昨日余额	可用	实际持仓	 成本价	最新价	 合约市值	 浮动盈亏	保证金	 Delta	 Gamma	  Vega	  Theta	   Rho	   ￥Delta	    ￥Gamma	  ￥Vega	 ￥Theta	  ￥Rho	备兑数量	买入成本	行权盈亏	当日平仓盈亏	  总盈亏	累计平仓盈亏	当日累计开仓数量	合约平仓挂单数量	合约代码	          合约标志	    期权合约账户	交易市场	盈损	
  12	        	  创业板ETF购8月3900	    认购	    权利	       1	   1	       1	0.03317	      	  320.000	  -11.700	 0.000	0.1382	0.4542	0.0020	-0.0020	0.0003	   4519.14	   24283.58	   20.00	  -20.00	   3.00	       0	 331.700	        	       0.000	 -11.700	       0.000	               0	               0	90007697	159915C2608M003900	0393337920966017	    深圳	    	
  13	        	  创业板ETF购8月4000	    认购	    权利	       1	   1	       1	0.03217	      	  232.000	  -89.700	 0.000	0.1055	0.3734	0.0017	-0.0016	0.0002	   3449.85	   19963.64	   17.00	  -16.00	   2.00	       0	 321.700	        	       0.000	 -89.700	       0.000	               0	               0	90007698	159915C2608M004000	0393337920966017	    深圳	    	
  14	        	  创业板ETF购8月4100	    认购	    权利	       1	   1	       1	0.02227	      	  163.000	  -59.700	 0.000	0.0783	0.2995	0.0013	-0.0013	0.0002	   2560.41	   16012.62	   13.00	  -13.00	   2.00	       0	 222.700	        	       0.000	 -59.700	       0.000	               0	               0	90007699	159915C2608M004100	0393337920966017	    深圳	    	
  15	        	  创业板ETF购8月4200	    认购	    权利	       1	   1	       1	0.02017	      	  124.000	  -77.700	 0.000	0.0611	0.2427	0.0011	-0.0011	0.0001	   1997.97	   12975.83	   11.00	  -11.00	   1.00	       0	 201.700	        	       0.000	 -77.700	       0.000	               0	               0	90007700	159915C2608M004200	0393337920966017	    深圳	    	
  16	        	  创业板ETF购8月4300	    认购	    权利	       2	   2	       2	0.01462	      	  184.000	 -108.400	 0.000	0.0934	0.3876	0.0018	-0.0018	0.0002	   3054.18	   20722.84	   18.00	  -18.00	   2.00	       0	 292.400	        	       0.000	-108.400	       0.000	               0	               0	90007701	159915C2608M004300	0393337920966017	    深圳	    	
  17	        	  创业板ETF购8月4400	    认购	    权利	       1	   1	       1	0.01647	      	   66.000	  -98.700	 0.000	0.0348	0.1516	0.0007	-0.0007	0.0001	   1137.96	    8105.22	    7.00	   -7.00	   1.00	       0	 164.700	        	       0.000	 -98.700	       0.000	               0	               0	90007702	159915C2608M004400	0393337920966017	    深圳	    	
  18	        	  创业板ETF购8月4500	    认购	    权利	       1	   1	       1	0.01467	      	   50.000	  -96.700	 0.000	0.0269	0.1207	0.0006	-0.0006	0.0001	    879.63	    6453.17	    6.00	   -6.00	   1.00	       0	 146.700	        	       0.000	 -96.700	       0.000	               0	               0	90007703	159915C2608M004500	0393337920966017	    深圳	    	
  19	        	 中证500ETF购8月3200	    认购	    权利	       1	   1	       1	0.04417	      	  431.000	  -10.700	 0.000	0.2546	1.0828	0.0026	-0.0018	0.0005	   7564.17	   47788.52	   26.00	  -18.00	   5.00	       0	 441.700	        	       0.000	 -10.700	       0.000	               0	               0	90007733	159922C2608M003200	0393337920966017	    深圳	    	
  20	        	 中证500ETF购8月3300	    认购	    权利	       1	   1	       1	0.03017	      	  263.000	  -38.700	 0.000	0.1708	0.8425	0.0021	-0.0014	0.0004	   5074.47	   37183.07	   21.00	  -14.00	   4.00	       0	 301.700	        	       0.000	 -38.700	       0.000	               0	               0	90007734	159922C2608M003300	0393337920966017	    深圳	    	
  21	        	 中证500ETF购8月3400	    认购	    权利	       2	   2	       2	0.02952	      	  332.000	 -258.400	 0.000	0.2290	1.2442	0.0032	-0.0022	0.0004	   6803.59	   54911.78	   32.00	  -22.00	   4.00	       0	 590.400	        	       0.000	-258.400	       0.000	               0	               0	90007735	159922C2608M003400	0393337920966017	    深圳	    	
  22	        	 中证500ETF购8月3500	    认购	    权利	       1	   1	       1	0.01267	      	  107.000	  -19.700	 0.000	0.0770	0.4484	0.0012	-0.0009	0.0002	   2287.67	   19789.78	   12.00	   -9.00	   2.00	       0	 126.700	        	       0.000	 -19.700	       0.000	               0	               0	90007736	159922C2608M003500	0393337920966017	    深圳	    	
  23	        	 中证500ETF购8月3600	    认购	    权利	       1	   1	       1	0.01117	      	   74.000	  -37.700	 0.000	0.0541	0.3260	0.0009	-0.0007	0.0001	   1607.31	   14387.75	    9.00	   -7.00	   1.00	       0	 111.700	        	       0.000	 -37.700	       0.000	               0	               0	90007737	159922C2608M003600	0393337920966017	    深圳	    	
  24	        	  创业板ETF购9月3000	    认购	    权利	       0	   1	       1	0.44017	      	 3969.000	 -432.700	 0.000	0.7294	0.5674	0.0042	-0.0020	0.0031	  23851.38	   30335.76	   42.00	  -20.00	  31.00	       0	4401.700	        	       0.000	-432.700	       0.000	               1	               0	90007070	159915C2609M003000	0393337920966017	    深圳	    	
  25	        	中证500ETF购12月2800	    认购	    权利	       1	   1	       1	0.31017	      	 2587.000	 -514.700	 0.000	0.7915	0.9494	0.0054	-0.0006	0.0084	  23515.47	   41901.01	   54.00	   -6.00	  84.00	       0	3101.700	        	       0.000	-514.700	       0.000	               0	               0	90007831	159922C2612M002800	0393337920966017	    深圳	    	
  26	        	     500ETF购3月7000	    认购	    权利	       0	   1	       1	0.65017	      	 6326.000	 -175.700	 0.000	0.7883	0.3882	0.0172	-0.0011	0.0336	  57829.69	  104458.60	  172.00	  -11.00	 336.00	       0	6501.700	        	       0.000	-175.700	       0.000	               1	               0	10012200	 510500C2703M07000	   A431907445888	    上海	    	
  27	        	     300ETF购3月4200	    认购	    权利	       0	   1	       1	0.42267	      	 4315.000	   88.300	 0.000	0.7694	0.3495	0.0113	-0.0009	0.0188	  35430.87	   37057.53	  113.00	   -9.00	 188.00	       0	4226.700	        	       0.000	  88.300	       0.000	               1	               0	10012263	 510300C2703M04200	   A431907445888	    上海	    	
  28	        	 中证500ETF购3月2800	    认购	    权利	       1	   1	       1	0.27017	      	 2755.000	   53.300	 0.000	0.8429	0.8769	0.0058	-0.0004	0.0145	  25042.56	   38701.28	   58.00	   -4.00	 145.00	       0	2701.700	        	       0.000	  53.300	       0.000	               0	               0	90007923	159922C2703M002800	0393337920966017	    深圳	    	
  29	    汇总	                    	        	        	        	    	      45	       	      	26357.000	-2836.500	      	 7.980	26.709	 0.118	 -0.049	 0.089	326411.780	1976299.300	1173.000	-480.000	900.000	        	        	        	            	        	            	                	                	        	                  	                	        	    	

