序号	自定序号	            合约名称	合约类型	持仓类型	昨日余额	可用	实际持仓	 成本价	最新价	 合约市值	浮动盈亏	保证金	  Delta	  Gamma	  Vega	  Theta	    Rho	   ￥Delta	    ￥Gamma	  ￥Vega	  ￥Theta	  ￥Rho	备兑数量	买入成本	行权盈亏	当日平仓盈亏	  总盈亏	累计平仓盈亏	当日累计开仓数量	合约平仓挂单数量	合约代码	          合约标志	    期权合约账户	交易市场	盈损	
  14	        	     500ETF购8月8750	    认购	    权利	       7	   8	       8	0.01512	      	 1032.000	-177.600	 0.000	 0.5448	 2.3960	0.0184	-0.0144	 0.0016	  43785.58	  773828.56	  184.00	  -144.00	  16.00	       0	1209.600	        	       0.000	-177.600	       0.000	               1	               0	10012059	 510500C2608M08750	   A431907445888	    上海	    	
  15	        	     500ETF购8月9000	    认购	    权利	       6	   8	       8	0.00938	      	  464.000	-286.600	 0.000	 0.2560	 1.2096	0.0096	-0.0080	 0.0008	  20574.72	  390660.70	   96.00	   -80.00	   8.00	       0	 750.600	        	       0.000	-286.600	       0.000	               2	               0	10012060	 510500C2608M09000	   A431907445888	    上海	    	
  16	        	  创业板ETF购8月4000	    认购	    权利	       2	   2	       2	0.02817	      	  234.000	-329.400	 0.000	 0.1778	 1.0950	0.0024	-0.0028	 0.0002	   6327.90	   69348.98	   24.00	   -28.00	   2.00	       0	 563.400	        	       0.000	-329.400	       0.000	               0	               0	90007698	159915C2608M004000	0393337920966017	    深圳	    	
  17	        	  创业板ETF购8月4100	    认购	    权利	       2	   2	       2	0.01722	      	  120.000	-224.400	 0.000	 0.1004	 0.7026	0.0016	-0.0018	 0.0002	   3573.24	   44497.35	   16.00	   -18.00	   2.00	       0	 344.400	        	       0.000	-224.400	       0.000	               0	               0	90007699	159915C2608M004100	0393337920966017	    深圳	    	
  18	        	  创业板ETF购8月4200	    认购	    权利	       7	   7	       7	0.01131	      	  259.000	-532.900	 0.000	 0.2226	 1.6310	0.0035	-0.0049	 0.0007	   7922.33	  103295.15	   35.00	   -49.00	   7.00	       0	 791.900	        	       0.000	-532.900	       0.000	               0	               0	90007700	159915C2608M004200	0393337920966017	    深圳	    	
  19	        	  创业板ETF购8月4300	    认购	    权利	       2	   2	       2	0.01462	      	   34.000	-258.400	 0.000	 0.0322	 0.2636	0.0006	-0.0008	 0.0000	   1146.00	   16694.42	    6.00	    -8.00	   0.00	       0	 292.400	        	       0.000	-258.400	       0.000	               0	               0	90007701	159915C2608M004300	0393337920966017	    深圳	    	
  20	        	  创业板ETF购8月4400	    认购	    权利	       1	   1	       1	0.01647	      	   16.000	-148.700	 0.000	 0.0141	 0.1074	0.0003	-0.0004	 0.0000	    501.82	    6801.90	    3.00	    -4.00	   0.00	       0	 164.700	        	       0.000	-148.700	       0.000	               0	               0	90007702	159915C2608M004400	0393337920966017	    深圳	    	
  21	        	  创业板ETF购8月4500	    认购	    权利	       1	   1	       1	0.01467	      	    9.000	-137.700	 0.000	 0.0082	 0.0665	0.0002	-0.0002	 0.0000	    291.84	    4211.60	    2.00	    -2.00	   0.00	       0	 146.700	        	       0.000	-137.700	       0.000	               0	               0	90007703	159915C2608M004500	0393337920966017	    深圳	    	
  22	        	 中证500ETF购8月3400	    认购	    权利	       4	   6	       6	0.02200	      	 1194.000	-126.200	 0.000	 1.2924	10.5702	0.0126	-0.0090	 0.0018	  42067.62	  559957.67	  126.00	   -90.00	  18.00	       0	1320.200	        	       0.000	-126.200	       0.000	               2	               0	90007735	159922C2608M003400	0393337920966017	    深圳	    	
  23	        	 中证500ETF购8月3500	    认购	    权利	       3	   3	       3	0.01067	      	  261.000	 -59.100	 0.000	 0.3129	 3.0411	0.0039	-0.0030	 0.0006	  10184.90	  161102.65	   39.00	   -30.00	   6.00	       0	 320.100	        	       0.000	 -59.100	       0.000	               0	               0	90007736	159922C2608M003500	0393337920966017	    深圳	    	
  24	        	 中证500ETF购8月3600	    认购	    权利	       1	   1	       1	0.01117	      	   39.000	 -72.700	 0.000	 0.0498	 0.5368	0.0007	-0.0006	 0.0001	   1620.99	   28437.05	    7.00	    -6.00	   1.00	       0	 111.700	        	       0.000	 -72.700	       0.000	               0	               0	90007737	159922C2608M003600	0393337920966017	    深圳	    	
  25	        	 中证500ETF沽8月3100	    认沽	    权利	       1	   1	       1	0.03527	      	  255.000	 -97.700	 0.000	-0.2073	 1.3527	0.0020	-0.0017	-0.0003	  -6747.61	   71659.45	   20.00	   -17.00	  -3.00	       0	 352.700	        	       0.000	 -97.700	       0.000	               0	               0	90007762	159922P2608M003100	0393337920966017	    深圳	    	
  26	        	 中证500ETF沽8月3000	    认沽	    权利	       2	   2	       2	0.02267	      	  162.000	-291.400	 0.000	-0.1698	 1.5314	0.0022	-0.0018	-0.0002	  -5526.99	   81126.11	   22.00	   -18.00	  -2.00	       0	 453.400	        	       0.000	-291.400	       0.000	               0	               0	90007782	159922P2608M003000	0393337920966017	    深圳	    	
  27	        	      50ETF沽9月2900	    认沽	    权利	       0	   1	       1	0.01667	      	  173.000	   6.300	 0.000	-0.1576	 1.1864	0.0026	-0.0005	-0.0006	  -4846.20	   56090.77	   26.00	    -5.00	  -6.00	       0	 166.700	        	       0.000	   6.300	       0.000	               1	               0	10010981	 510050P2609M02900	   A431907445888	    上海	    	
  28	        	     500ETF购9月8500	    认购	    权利	       1	   1	       1	0.08017	      	  933.000	 131.300	 0.000	 0.2636	 0.5395	0.0092	-0.0024	 0.0025	  21185.53	  174240.61	   92.00	   -24.00	  25.00	       0	 801.700	        	       0.000	 131.300	       0.000	               0	               0	10012076	 510500C2609M08500	   A431907445888	    上海	    	
  29	        	中证500ETF购12月2800	    认购	    权利	       1	   1	       1	0.31017	      	 4100.000	 998.300	 0.000	 0.8015	 0.3750	0.0055	-0.0010	 0.0075	  26088.83	   19865.67	   55.00	   -10.00	  75.00	       0	3101.700	        	       0.000	 998.300	       0.000	               0	               0	90007831	159922C2612M002800	0393337920966017	    深圳	    	
  30	        	     500ETF购3月7000	    认购	    权利	       1	   1	       1	0.65017	      	 9395.000	2893.300	 0.000	 0.7464	 0.1189	0.0203	-0.0024	 0.0266	  59988.17	   38400.76	  203.00	   -24.00	 266.00	       0	6501.700	        	       0.000	2893.300	       0.000	               0	               0	10012200	 510500C2703M07000	   A431907445888	    上海	    	
  31	        	     300ETF购3月4200	    认购	    权利	       1	   1	       1	0.42267	      	 5105.000	 878.300	 0.000	 0.8215	 0.2972	0.0098	-0.0009	 0.0195	  39095.19	   33655.05	   98.00	    -9.00	 195.00	       0	4226.700	        	       0.000	 878.300	       0.000	               0	               0	10012263	 510300C2703M04200	   A431907445888	    上海	    	
  32	        	 中证500ETF购3月2800	    认购	    权利	       1	   1	       1	0.27017	      	 4133.000	1431.300	 0.000	 0.7859	 0.3291	0.0075	-0.0008	 0.0118	  25581.05	   17434.11	   75.00	    -8.00	 118.00	       0	2701.700	        	       0.000	1431.300	       0.000	               0	               0	90007923	159922C2703M002800	0393337920966017	    深圳	    	
  33	    汇总	                    	        	        	        	    	      99	       	      	32900.000	1281.700	      	  8.235	 92.454	 0.193	 -0.104	  0.081	407933.030	7573952.860	1928.000	-1030.000	777.000	        	        	        	            	        	            	                	                	        	                  	                	        	    	

