"f2","f14","f18","f31","f32","f108","f161","f163","f249","f250","f301","f303","f325","f326","f328","f333","f334"
0.1886,"50ETF沽6月3200",0.1918,0.1869,0.1919,1190,3.2,33,16.33,3.26,20260624,9.2,-0.5576,1.2392,-0.085,"上证50ETF",3.113
0.2889,"50ETF沽1月3400",0.2905,0.2849,0.2905,97,3.4,68,15.87,0.06,20260128,10.07,-0.935,0.7302,-0.023,"上证50ETF",3.113
0.1211,"50ETF购6月3200",0.1211,0.1221,0.123,2803,3.2,36,15.87,6.68,20260624,11.37,0.4423,1.2392,-0.1264,"上证50ETF",3.113
0.2209,"50ETF购6月3000",0.2233,0.2132,0.2278,1034,3,14,15.59,3.47,20260624,9.67,0.6863,1.1131,-0.1237,"上证50ETF",3.113
0.4076,"50ETF沽6月3500",0.41,0.405,0.415,1000,3.5,-3,17.07,0.66,20260624,6.46,-0.8463,0.7437,-0.0264,"上证50ETF",3.113
0.0453,"50ETF购6月3500",0.0456,0.0445,0.046,3010,3.5,121,16.87,13.89,20260624,10.56,0.1536,0.7437,-0.0717,"上证50ETF",3.113
0.392,"50ETF沽3月3500",0.3881,0.3885,0.3977,3706,3.5,-30,17.19,0.16,20260325,7.33,-0.9236,0.599,-0.0105,"上证50ETF",3.113
0.3859,"50ETF沽12月3500",0.389,0.3836,0.3875,3229,3.5,-27,22.56,-0.04,20251224,8.06,-0.9991,0.0251,0.0433,"上证50ETF",3.113
0.4839,"50ETF沽12月3600",0.4866,0.4829,0.488,1981,3.6,-1,21.09,-0.1,20251224,6.43,-0.9999,0.0017,0.0467,"上证50ETF",3.113
0.1176,"50ETF购3月3100",0.1186,0.1202,0.1205,7790,3.1,1089,14.81,3.36,20260325,14.79,0.5587,1.6486,-0.1672,"上证50ETF",3.113
0.3033,"50ETF沽3月3400",0.2942,0.2997,0.3082,3639,3.4,1,16.46,0.52,20260325,8.76,-0.8539,0.9567,-0.0462,"上证50ETF",3.113
0.2677,"50ETF购1月2850",0.2695,0.2689,0.2744,119,2.85,-11,0,0.15,20260128,11.06,0.9507,0.5882,-0.087,"上证50ETF",3.113
0.0985,"50ETF沽12月3200",0.0997,0.0985,0.0988,46646,3.2,522,12.99,0.37,20251224,24,-0.7594,2.7179,-0.2086,"上证50ETF",3.113
0.3242,"50ETF购6月2850",0.3265,0.3168,0.3318,851,2.85,-5,15.41,1.97,20260624,8.05,0.8381,0.7697,-0.098,"上证50ETF",3.113
0.2523,"50ETF沽6月3300",0.2559,0.2503,0.2628,848,3.3,55,16.39,2.1,20260624,8.29,-0.6721,1.1338,-0.0701,"上证50ETF",3.113
0.0338,"50ETF购6月3600",0.0343,0.0336,0.0344,5661,3.6,305,17.48,16.73,20260624,8.97,0.0974,0.5406,-0.0516,"上证50ETF",3.113
0.074,"50ETF购3月3200",0.0751,0.0727,0.0754,8715,3.2,122,14.94,5.17,20260325,16.63,0.3954,1.6091,-0.1577,"上证50ETF",3.113
0.0121,"50ETF购12月3200",0.0123,0.0121,0.0122,140749,3.2,7778,12.01,3.18,20251224,61.87,0.2405,2.7179,-0.2503,"上证50ETF",3.113
0.2501,"50ETF购6月2950",0.2619,0.2453,0.2602,490,2.95,1,15.2,2.8,20260624,9.24,0.742,1.0141,-0.1168,"上证50ETF",3.113
0.2847,"50ETF沽12月3400",0.2901,0.2843,0.2885,5553,3.4,-78,15.63,-0.07,20251224,10.83,-0.9906,0.2187,0.0245,"上证50ETF",3.113
0.2226,"50ETF沽3月3300",0.2273,0.2204,0.2264,3871,3.3,-71,16,1.14,20260325,10.45,-0.747,1.3357,-0.0852,"上证50ETF",3.113
0.0327,"50ETF购1月3200",0.0334,0.0323,0.0332,4970,3.2,1926,12.55,3.85,20260128,31.86,0.3347,2.099,-0.199,"上证50ETF",3.113
0.0449,"50ETF购3月3300",0.0459,0.0449,0.046,10211,3.3,124,15.23,7.45,20260325,17.53,0.2529,1.3357,-0.1281,"上证50ETF",3.113
0.0583,"50ETF沽1月3100",0.0601,0.057,0.0582,6044,3.1,1267,13.28,2.29,20260128,23.67,-0.4432,2.276,-0.1828,"上证50ETF",3.113
0.0602,"50ETF沽6月2900",0.0616,0.0588,0.061,2136,2.9,87,16.5,8.78,20260624,10.7,-0.2069,0.8972,-0.0705,"上证50ETF",3.113
0.195,"50ETF沽1月3300",0.1998,0.1932,0.198,368,3.3,173,13.72,0.26,20260128,13.35,-0.8361,1.4238,-0.0896,"上证50ETF",3.113
0.1352,"50ETF沽6月3100",0.1386,0.1348,0.136,1939,3.1,-28,16.33,4.76,20260624,10,-0.4344,1.2354,-0.0903,"上证50ETF",3.113
0.0273,"50ETF购3月3400",0.028,0.0272,0.0283,8756,3.4,231,15.77,10.1,20260325,16.65,0.146,0.9567,-0.0904,"上证50ETF",3.113
0.0112,"50ETF购3月3600",0.0115,0.0112,0.0116,15767,3.6,225,17.33,16,20260325,10.06,0.0362,0.3316,-0.0307,"上证50ETF",3.113
0.0965,"50ETF沽3月3100",0.0991,0.0964,0.0985,10722,3.1,-130,15.5,3.52,20260325,14.23,-0.4412,1.6486,-0.127,"上证50ETF",3.113
0.0171,"50ETF购3月3500",0.0176,0.0168,0.0177,13162,3.5,-30,16.48,12.98,20260325,13.89,0.0763,0.599,-0.056,"上证50ETF",3.113
0.0746,"50ETF沽6月2950",0.0764,0.0756,0.0761,3357,2.95,-4,16.38,7.63,20260624,10.76,-0.2579,1.0141,-0.0786,"上证50ETF",3.113
0.0918,"50ETF沽6月3000",0.0946,0.0911,0.0938,2693,3,-7,16.31,6.58,20260624,10.63,-0.3136,1.1131,-0.0849,"上证50ETF",3.113
0.0032,"50ETF购12月3300",0.0033,0.0031,0.0032,76375,3.3,12,13.67,6.11,20251224,59.93,0.0616,1.0621,-0.0965,"上证50ETF",3.113
0.0031,"50ETF购1月3500",0.0032,0.0029,0.0031,3120,3.5,566,15.63,12.53,20260128,20.99,0.0209,0.2901,-0.0264,"上证50ETF",3.113
0.1156,"50ETF沽1月3200",0.1194,0.1141,0.1156,801,3.2,310,13.18,0.92,20260128,17.91,-0.6652,2.099,-0.1574,"上证50ETF",3.113
0.1519,"50ETF沽3月3200",0.1577,0.1516,0.1559,5653,3.2,178,15.58,2.08,20260325,12.39,-0.6045,1.6091,-0.1162,"上证50ETF",3.113
0.0427,"50ETF沽3月2950",0.0444,0.0418,0.0435,7416,2.95,1462,15.84,6.61,20260325,15.59,-0.2139,1.2173,-0.0987,"上证50ETF",3.113
0.0572,"50ETF沽3月3000",0.0598,0.0563,0.0566,7823,3,-541,15.71,5.47,20260325,15.39,-0.2828,1.4134,-0.1131,"上证50ETF",3.113
0.37,"50ETF沽1月3500",0.37,0.3816,0.3878,13,3.5,0,0,-0.55,20260128,8.24,-0.979,0.2901,0.019,"上证50ETF",3.113
0.0479,"50ETF沽6月2850",0.0505,0.0465,0.048,4246,2.85,-85,16.61,9.99,20260624,10.52,-0.1618,0.7697,-0.0612,"上证50ETF",3.113
0.0128,"50ETF购1月3300",0.0135,0.0125,0.0128,5421,3.3,1913,12.92,6.42,20260128,39.84,0.1638,1.4238,-0.1325,"上证50ETF",3.113
0.0244,"50ETF沽1月3000",0.0261,0.0241,0.0243,4198,3,1223,13.57,4.41,20260128,29.64,-0.2323,1.7602,-0.1461,"上证50ETF",3.113
0.0014,"50ETF购12月3500",0.0015,0.0014,0.0015,30433,3.5,-471,20.9,12.48,20251224,1.78,0.0008,0.0251,-0.0022,"上证50ETF",3.113
0.0053,"50ETF购1月3400",0.0057,0.0052,0.0056,3874,3.4,702,13.82,9.39,20260128,38.12,0.0649,0.7302,-0.0672,"上证50ETF",3.113
0.0331,"50ETF沽12月3100",0.0358,0.0331,0.0332,96134,3.1,8853,12.06,1.48,20251224,41.1,-0.437,3.4408,-0.2866,"上证50ETF",3.113
0.0153,"50ETF沽1月2950",0.0165,0.0149,0.0154,3091,2.95,945,13.96,5.73,20260128,30.68,-0.1508,1.3492,-0.1132,"上证50ETF",3.113
0.032,"50ETF沽3月2900",0.035,0.0311,0.0326,5765,2.9,160,16.14,7.87,20260325,15.07,-0.1549,0.9957,-0.0816,"上证50ETF",3.113
0.0174,"50ETF沽3月2800",0.0197,0.017,0.018,5236,2.8,96,16.82,10.61,20260325,12.61,-0.0705,0.5646,-0.047,"上证50ETF",3.113
0.0236,"50ETF沽3月2850",0.0262,0.0233,0.0244,5823,2.85,58,16.43,9.21,20260325,14.14,-0.1072,0.7715,-0.0637,"上证50ETF",3.113
0.0059,"50ETF沽1月2850",0.0066,0.0059,0.0062,2911,2.85,611,15.04,8.64,20260128,25.96,-0.0492,0.5882,-0.05,"上证50ETF",3.113
0.0092,"50ETF沽1月2900",0.0104,0.0092,0.0095,3872,2.9,993,14.33,7.14,20260128,30.49,-0.0901,0.9378,-0.0792,"上证50ETF",3.113
0.0129,"50ETF沽3月2750",0.0146,0.0126,0.0133,4464,2.75,31,17.29,12.08,20260325,10.59,-0.0439,0.3891,-0.0325,"上证50ETF",3.113
0.0098,"50ETF沽3月2700",0.0111,0.0097,0.0098,11026,2.7,-444,17.87,13.58,20260325,8.2,-0.0258,0.2517,-0.0211,"上证50ETF",3.113
0.0016,"50ETF购12月3400",0.0019,0.0015,0.0016,36556,3.4,-2100,16.8,9.27,20251224,18.09,0.0093,0.2187,-0.0197,"上证50ETF",3.113
0.0005,"50ETF沽12月2550",0.0006,0.0004,0.0005,22750,2.55,60,29.69,18.1,20251224,0,0,0,0,"上证50ETF",3.113
0.0083,"50ETF沽12月3000",0.01,0.0082,0.0083,84880,3,2928,13.28,3.9,20251224,55.06,-0.1468,2.008,-0.1718,"上证50ETF",3.113
0.002,"50ETF沽12月2850",0.0025,0.002,0.0021,19428,2.85,2587,18.07,8.51,20251224,11.21,-0.0072,0.1756,-0.0152,"上证50ETF",3.113
0.0041,"50ETF沽12月2950",0.0052,0.004,0.0042,38722,2.95,4782,14.16,5.37,20251224,49.96,-0.0658,1.1196,-0.0964,"上证50ETF",3.113
0.0029,"50ETF沽12月2900",0.0037,0.0027,0.0029,26446,2.9,-520,16.21,6.94,20251224,25.98,-0.0242,0.4989,-0.0431,"上证50ETF",3.113
0.001,"50ETF购12月3600",0.0013,0.001,0.0011,20767,3.6,-218,23.83,15.68,20251224,0,0,0.0017,-0.0001,"上证50ETF",3.113
0.0006,"50ETF沽12月2600",0.0008,0.0004,0.0006,11100,2.6,40,27.73,16.5,20251224,0,0,0,0,"上证50ETF",3.113
0.0014,"50ETF沽12月2800",0.0019,0.0014,0.0016,17966,2.8,17,19.73,10.1,20251224,3.56,-0.0016,0.0482,-0.0041,"上证50ETF",3.113
0.0016,"300ETF购12月5250",0.0013,0.0013,0.0015,19896,5.25,-313,21.09,13.3,20251224,4.92,0.0017,0.0288,-0.0074,"沪深300ETF",4.635
0.0006,"300ETF沽12月3800",0.0005,0.0005,0.0006,16297,3.8,-115,28.91,18.03,20251224,0,0,0,0,"沪深300ETF",4.635
0.0006,"300ETF沽12月3520A",0.0006,0.0005,0.0007,8052,3.52,-77,39.06,24.07,20251224,0,0,0,0,"沪深300ETF",4.635
0.0006,"300ETF沽12月3423A",0.0006,0.0005,0.0006,13383,3.423,2,42.19,26.16,20251224,0,0,0,0,"沪深300ETF",4.635
0.001,"300ETF购12月5500",0.0009,0.0009,0.0011,12776,5.5,0,26.17,18.68,20251224,0,0,0.0006,-0.0001,"沪深300ETF",4.635
0.0135,"300ETF购12月4800",0.0122,0.0134,0.0136,83399,4.8,-366,12.55,3.85,20251224,73.89,0.2152,1.501,-0.3975,"沪深300ETF",4.635
0.0808,"300ETF购12月4600",0.0744,0.0808,0.0815,56832,4.6,424,11.79,0.99,20251224,33.77,0.5887,1.9972,-0.5464,"沪深300ETF",4.635
0.0051,"300ETF购12月4900",0.0047,0.0051,0.0053,43403,4.9,-1060,13.38,5.83,20251224,91.25,0.1004,0.9039,-0.2376,"沪深300ETF",4.635
0.0065,"300ETF购3月5750",0.006,0.0063,0.0067,5434,5.75,48,19.63,24.2,20260325,6.49,0.0091,0.0602,-0.0159,"沪深300ETF",4.635
0.0027,"300ETF购12月5000",0.0025,0.0026,0.0027,36977,5,-51,15.14,7.93,20251224,67.29,0.0392,0.4354,-0.1139,"沪深300ETF",4.635
0.035,"300ETF购12月4700",0.0325,0.035,0.0352,94415,4.7,3495,11.95,2.16,20251224,51.24,0.3869,1.9653,-0.5266,"沪深300ETF",4.635
0.1489,"300ETF购12月4500",0.1392,0.1488,0.149,18650,4.5,584,10.52,0.3,20251224,24.05,0.7726,1.5491,-0.4417,"沪深300ETF",4.635
0.0421,"300ETF购1月4800",0.0397,0.0415,0.0421,3198,4.8,-348,13.05,4.47,20260128,34.65,0.3147,1.203,-0.3267,"沪深300ETF",4.635
0.0728,"300ETF购1月4700",0.0688,0.0713,0.0728,3845,4.7,1814,12.74,2.97,20260128,27.99,0.4396,1.336,-0.3679,"沪深300ETF",4.635
0.0242,"300ETF购3月5250",0.023,0.0243,0.0246,9404,5.25,607,16.99,13.79,20260325,17.7,0.0924,0.4066,-0.1095,"沪深300ETF",4.635
0.116,"300ETF购1月4600",0.1109,0.115,0.1161,3790,4.6,1516,12.08,1.75,20260128,22.92,0.5736,1.3285,-0.3734,"沪深300ETF",4.635
0.1334,"300ETF购6月4900",0.1276,0.1307,0.1333,1661,4.9,41,16.04,8.6,20260624,12.58,0.362,0.6916,-0.1975,"沪深300ETF",4.635
0.2359,"300ETF购3月4500",0.2257,0.2309,0.2356,3951,4.5,75,14.15,2.18,20260325,13.08,0.6658,0.8938,-0.2661,"沪深300ETF",4.635
0.2481,"300ETF购1月4400",0.2381,0.2445,0.2494,445,4.4,131,8.15,0.28,20260128,15.16,0.8116,0.9147,-0.2799,"沪深300ETF",4.635
0.2321,"300ETF购12月4400",0.2229,0.232,0.2336,6492,4.4,-13,0,-0.06,20251224,17.97,0.9001,0.9004,-0.2819,"沪深300ETF",4.635
0.1739,"300ETF购1月4500",0.1674,0.1729,0.1764,761,4.5,111,10.91,0.84,20260128,18.72,0.7022,1.174,-0.3408,"沪深300ETF",4.635
0.0528,"300ETF购3月5000",0.0509,0.0524,0.0535,14732,5,12,15.88,9.01,20260325,19.35,0.2204,0.7279,-0.1992,"沪深300ETF",4.635
0.1787,"300ETF购3月4600",0.1727,0.177,0.1788,15814,4.6,125,14.36,3.1,20260325,14.8,0.5707,0.9643,-0.2792,"沪深300ETF",4.635
0.1642,"300ETF购6月4800",0.1575,0.1614,0.1638,2153,4.8,10,15.72,7.1,20260624,12.13,0.4298,0.7247,-0.2096,"沪深300ETF",4.635
0.063,"300ETF购6月5250",0.0609,0.0628,0.0635,5159,5.25,393,17.08,14.63,20260624,12.71,0.1728,0.4718,-0.1307,"沪深300ETF",4.635
0.0395,"300ETF购6月5500",0.0384,0.0383,0.0391,5820,5.5,284,18.16,19.51,20260624,10.55,0.0899,0.2995,-0.0819,"沪深300ETF",4.635
0.0122,"300ETF购3月5500",0.0118,0.012,0.0124,11161,5.5,462,18.36,18.93,20260325,12.04,0.0317,0.1751,-0.0467,"沪深300ETF",4.635
0.3328,"300ETF购1月4300",0.3391,0.3267,0.3333,47,4.3,5,0,-0.05,20260128,12.44,0.8934,0.6229,-0.2089,"沪深300ETF",4.635
0.2987,"300ETF购3月4400",0.2901,0.2941,0.3,3641,4.4,0,13.31,1.37,20260325,11.69,0.7531,0.7753,-0.2401,"沪深300ETF",4.635
0.2005,"300ETF购6月4700",0.1957,0.1969,0.2009,1779,4.7,519,15.34,5.73,20260624,11.59,0.5013,0.7361,-0.2163,"沪深300ETF",4.635
0.099,"300ETF购3月4800",0.0959,0.099,0.1,9728,4.8,-22,15.1,5.7,20260325,17.78,0.3797,0.9348,-0.2612,"沪深300ETF",4.635
0.0721,"300ETF购3月4900",0.0699,0.0722,0.0733,7331,4.9,228,15.44,7.27,20260325,18.92,0.2943,0.8464,-0.2338,"沪深300ETF",4.635
0.0233,"300ETF购6月5750",0.0226,0.0231,0.0232,3141,5.75,-12,18.8,24.56,20260624,8.47,0.0426,0.1673,-0.0453,"沪深300ETF",4.635
0.2434,"300ETF购6月4600",0.2361,0.2396,0.2444,1223,4.6,36,14.91,4.5,20260624,10.93,0.5742,0.7234,-0.2168,"沪深300ETF",4.635
0.538,"300ETF购3月4100",0.546,0.5292,0.5399,1929,4.1,10,0,0.06,20260325,8.03,0.9316,0.3238,-0.1319,"沪深300ETF",4.635
0.4238,"300ETF沽1月5000",0.4,0.3964,0.4041,41,5,1,25.13,1.27,20260128,9.51,-0.8693,0.7189,-0.1269,"沪深300ETF",4.635
0.1072,"300ETF购6月5000",0.1032,0.1056,0.1078,2230,5,248,16.29,10.19,20260624,12.95,0.2994,0.641,-0.1811,"沪深300ETF",4.635
0.1333,"300ETF购3月4700",0.1301,0.1333,0.1357,7995,4.7,-186,14.66,4.28,20260325,16.46,0.4734,0.9775,-0.2774,"沪深300ETF",4.635
0.2914,"300ETF购6月4500",0.29,0.2891,0.2949,1106,4.5,-3,14.26,3.37,20260624,10.28,0.6462,0.6861,-0.2109,"沪深300ETF",4.635
0.369,"300ETF购3月4300",0.3816,0.3658,0.3725,3415,4.3,-13,11.5,0.73,20260325,10.4,0.8279,0.6264,-0.2054,"沪深300ETF",4.635
0.0231,"300ETF购1月4900",0.0226,0.0231,0.0238,3314,4.9,1440,13.35,6.22,20260128,42.14,0.21,0.9764,-0.2625,"沪深300ETF",4.635
0.4152,"300ETF购6月4300",0.4061,0.4087,0.417,2649,4.3,21,12.91,1.73,20260624,8.68,0.7775,0.5498,-0.1821,"沪深300ETF",4.635
0.4838,"300ETF购6月4200",0.4939,0.4779,0.4876,100,4.2,1,10.99,1.05,20260624,7.98,0.8328,0.462,-0.162,"沪深300ETF",4.635
0.3257,"300ETF购12月4303A",0.309,0.3215,0.3271,922,4.303,-14,0,-0.14,20251224,13.73,0.965,0.3962,-0.1554,"沪深300ETF",4.635
0.3479,"300ETF购6月4400",0.3451,0.3449,0.3519,996,4.4,-31,13.54,2.44,20260624,9.52,0.7148,0.6267,-0.199,"沪深300ETF",4.635
0.3278,"300ETF购12月4300",0.3122,0.3245,0.3285,4164,4.3,-378,0,-0.16,20251224,13.66,0.9663,0.3845,-0.1524,"沪深300ETF",4.635
0.4474,"300ETF购3月4200",0.4398,0.4445,0.4534,1837,4.2,46,0,0.27,20260325,9.2,0.8876,0.4691,-0.1676,"沪深300ETF",4.635
0.428,"300ETF购12月4200",0.4067,0.4213,0.4273,2194,4.2,-302,0,-0.15,20251224,10.74,0.9916,0.118,-0.0843,"沪深300ETF",4.635
0.42,"300ETF购12月4205A",0.4119,0.42,0.4227,538,4.205,-8,0,-0.22,20251224,10.94,0.9909,0.1262,-0.0865,"沪深300ETF",4.635
0.626,"300ETF购3月4000",0.634,0.6185,0.631,1253,4,0,0,-0.19,20260325,7.12,0.9616,0.2049,-0.102,"沪深300ETF",4.635
0.518,"300ETF购12月4107A",0.5364,0.5124,0.5189,841,4.107,-4,0,-0.22,20251224,8.93,0.9983,0.0287,-0.0606,"沪深300ETF",4.635
0.4244,"300ETF购1月4200",0.425,0.4158,0.423,123,4.2,64,0,-0.23,20260128,10.34,0.9468,0.3673,-0.1454,"沪深300ETF",4.635
0.6147,"300ETF购12月4009A",0.6077,0.6096,0.6166,1197,4.009,-18,0,-0.24,20251224,7.54,0.9998,0.0045,-0.0533,"沪深300ETF",4.635
1.1544,"300ETF沽3月5750",1.1174,1.1306,1.1477,941,5.75,0,33.13,0.85,20260325,3.98,-0.9908,0.0602,0.0587,"沪深300ETF",4.635
0.8234,"300ETF购12月3800",0.8419,0.8176,0.8254,371,3.8,-4,0,-0.25,20251224,5.63,1,0,-0.0494,"沪深300ETF",4.635
0.5227,"300ETF购12月4100",0.5144,0.5198,0.5262,1519,4.1,-17,0,-0.27,20251224,8.85,0.9985,0.0254,-0.0597,"沪深300ETF",4.635
0.809,"300ETF购12月3814A",0.8109,0.8034,0.8111,651,3.814,0,0,-0.26,20251224,5.73,1,0,-0.0496,"沪深300ETF",4.635
0.9226,"300ETF购12月3700",0.9169,0.9168,0.925,388,3.7,-20,0,-0.27,20251224,5.02,1,0,-0.0481,"沪深300ETF",4.635
1.0043,"300ETF购12月3618A",1.011,0.9984,1.0069,721,3.618,0,0,-0.27,20251224,4.62,1,0,-0.047,"沪深300ETF",4.635
0.0005,"300ETF沽12月3700",0.0006,0.0005,0.0007,9646,3.7,36,32.03,20.18,20251224,0,0,0,0,"沪深300ETF",4.635
0.0005,"300ETF沽12月3600",0.0006,0.0005,0.0006,15753,3.6,-29,35.16,22.34,20251224,0,0,0,0,"沪深300ETF",4.635
0.0005,"300ETF沽12月3500",0.0006,0.0004,0.0005,16243,3.5,7,39.06,24.5,20251224,0,0,0,0,"沪深300ETF",4.635
0.622,"300ETF购12月4000",0.6068,0.6188,0.6258,1768,4,-6,0,-0.28,20251224,7.45,0.9998,0.0038,-0.0529,"沪深300ETF",4.635
0.0008,"300ETF沽12月3912A",0.0008,0.0004,0.0009,1176,3.912,-51,26.17,15.62,20251224,0,0,0.0005,0,"沪深300ETF",4.635
0.0006,"300ETF沽12月3814A",0.0007,0.0004,0.0007,2038,3.814,1,28.52,17.73,20251224,0,0,0,0,"沪深300ETF",4.635
0.0005,"300ETF沽12月3716A",0.0007,0.0003,0.0006,3300,3.716,1,31.25,19.84,20251224,0,0,0,0,"沪深300ETF",4.635
1.102,"300ETF购12月3520A",1.11,1.0959,1.105,603,3.52,-5,0,-0.28,20251224,4.21,1,0,-0.0457,"沪深300ETF",4.635
1.199,"300ETF购12月3423A",1.2356,1.194,1.2021,578,3.423,-4,0,-0.28,20251224,3.87,1,0,-0.0445,"沪深300ETF",4.635
1.0218,"300ETF购12月3600",1.0143,1.0163,1.0251,483,3.6,0,0,-0.28,20251224,4.54,1,0,-0.0468,"沪深300ETF",4.635
